default_id,default_exercise,default_muscle,default_equipment
1,Dumbbell Bench Press,Chest,Dumbbell
2,Pushups,Chest,Body Only
3,Close-grip bench press,Chest,Barbell
4,Dumbbell Flyes,Chest,Dumbbell
5,Incline dumbbell bench press,Chest,Dumbbell
6,Low-cable cross-over,Chest,Cable
7,Barbell Bench Press - Medium Grip,Chest,Barbell
8,Chest dip,Chest,Other
9,Decline Dumbbell Flyes,Chest,Dumbbell
10,Bodyweight Flyes,Chest,E-Z Curl Bar
11,Incline cable chest fly,Chest,Cable
12,Decline barbell bench press,Chest,Barbell
13,Wide-grip bench press,Chest,Barbell
14,Wide-Grip Decline Barbell Bench Press,Chest,Barbell
15,Reverse-grip incline dumbbell bench press,Chest,Dumbbell
16,Rickshaw Carry,Forearms,Other
17,Palms-down wrist curl over bench,Forearms,Barbell
18,Straight-bar wrist roll-up,Forearms,Barbell
19,Dumbbell farmer's walk,Forearms,Dumbbell
20,Palms-up wrist curl over bench,Forearms,Barbell
21,Standing behind-the-back wrist curl,Forearms,Barbell
22,Seated finger curl,Forearms,Barbell
23,Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Forearms,Cable
24,Wrist Roller,Forearms,Other
25,Seated One-Arm Dumbbell Palms-Up Wrist Curl,Forearms,Dumbbell
26,Seated Palms-Down Barbell Wrist Curl,Forearms,Barbell
27,Dumbbell Lying Supination,Forearms,Dumbbell
28,Dumbbell Lying Pronation,Forearms,Dumbbell
29,Seated palms-up wrist curl,Forearms,Barbell
30,Palms-Up Dumbbell Wrist Curl Over A Bench,Forearms,Dumbbell
31,Weighted pull-up,Lats,Other
32,Pullups,Lats,Body Only
33,Rocky Pull-Ups/Pulldowns,Lats,Other
34,Close-grip pull-down,Lats,Cable
35,Pull-up,Lats,Body Only
36,Muscle Up,Lats,Body Only
37,Shotgun row,Lats,Cable
38,Close-Grip Front Lat Pulldown,Lats,Cable
39,V-bar pull-up,Lats,Pull Up Bar
40,Rope climb,Lats,Body Only
41,Wide-Grip Rear Pull-Up,Lats,Body Only
42,Straight-arm rope pull-down,Lats,Cable
43,Lat pull-down,Lats,Cable
44,Reverse-grip lat pull-down,Lats,Machine
45,Gironda Sternum Chins,Lats,Other
46,Single-Leg Press,Quadriceps,Machine
47,Landmine twist,Abdominals,Other
48,T-Bar Row with Handle,Middle Back,Other
49,Atlas Stones,Lower Back,Other
50,Dumbbell front raise to lateral raise,Shoulders,Dumbbell
51,Clean from Blocks,Quadriceps,Barbell
52,Incline Hammer Curls,Biceps,Dumbbell
53,Barbell glute bridge,Glutes,Barbell
54,Clean and press,Shoulders,Barbell
55,Triceps dip,Triceps,Body Only
56,Lying Face Down Plate Neck Resistance,Neck,Other
57,Lying Face Up Plate Neck Resistance,Neck,Other
58,Seated Head Harness Neck Resistance,Neck,Other
59,Isometric Neck Exercise - Sides,Neck,Body Only
60,Isometric Neck Exercise - Front And Back,Neck,Body Only
61,Neck Bridge Prone,Neck,Body Only
62,Side Neck Stretch,Neck,Body Only
63,Chin To Chest Stretch,Neck,Body Only
64,Neck-SMR,Neck,Body Only
65,Barbell Full Squat,Quadriceps,Barbell
66,Tire flip,Quadriceps,Other
67,Barbell back squat to box,Quadriceps,Barbell
68,Push-press,Quadriceps,Barbell
69,Power snatch-,Quadriceps,Barbell
70,Hang Clean,Quadriceps,Barbell
71,Reverse Band Box Squat,Quadriceps,Other
72,Jumping rope,Quadriceps,Body Only
73,Barbell walking lunge,Quadriceps,Barbell
74,Front Squats With Two Kettlebells,Quadriceps,Kettlebells
75,Single Leg Push-off,Quadriceps,Other
76,Olympic Squat,Quadriceps,Barbell
77,Stair climber,Quadriceps,Machine
78,Barbell Deadlift,Hamstrings,Barbell
79,Romanian Deadlift With Dumbbells,Hamstrings,Dumbbell
80,Clean Deadlift,Hamstrings,Barbell
81,Sumo deadlift,Hamstrings,Barbell
82,Romanian Deadlift from Deficit,Hamstrings,Barbell
83,Power Snatch,Hamstrings,Barbell
84,Power Clean from Blocks,Hamstrings,Barbell
85,Natural Glute Ham Raise,Hamstrings,Body Only
86,Glute ham raise-,Hamstrings,None
87,Snatch Deadlift,Hamstrings,Barbell
88,Lying Leg Curls,Hamstrings,Machine
89,Stiff-Legged Dumbbell Deadlift,Hamstrings,Dumbbell
90,Exercise ball leg curl,Hamstrings,Exercise Ball
91,Kettlebell pass-through lunge,Hamstrings,Kettlebells
92,Power clean,Hamstrings,Barbell
93,Smith Machine Calf Raise,Calves,Machine
94,Standing Calf Raises,Calves,Machine
95,Seated Calf Raise,Calves,Machine
96,Calf Press On The Leg Press Machine,Calves,Machine
97,Rocking Standing Calf Raise,Calves,Barbell
98,Calf Press,Calves,Machine
99,Standing barbell calf raise,Calves,Barbell
100,Barbell Seated Calf Raise,Calves,Barbell
101,Balance Board,Calves,Other
102,Weighted donkey calf raise,Calves,Other
103,Smith Machine Reverse Calf Raises,Calves,Machine
104,Dumbbell Seated One-Leg Calf Raise,Calves,Dumbbell
105,Ankle Circles,Calves,None
106,Peroneals-SMR,Calves,Body Only
107,Knee Circles,Calves,Body Only
108,Decline EZ-bar skullcrusher,Triceps,E-Z Curl Bar
109,Dumbbell floor press,Triceps,Dumbbell
110,Cable V-bar push-down,Triceps,Cable
111,Weighted bench dip,Triceps,Body Only
112,EZ-Bar Skullcrusher,Triceps,E-Z Curl Bar
113,Reverse Grip Triceps Pushdown,Triceps,Cable
114,Push-Ups - Close Triceps Position,Triceps,Body Only
115,Kneeling cable triceps extension,Triceps,Cable
116,Single-arm cable triceps extension,Triceps,Cable
117,Triceps Pushdown - Rope Attachment,Triceps,Cables
118,Seated triceps press,Triceps,Dumbbell
119,Incline EZ-bar skullcrusher,Triceps,Barbell
120,Decline Close-Grip Bench To Skull Crusher,Triceps,Barbell
121,Tricep Dumbbell Kickback,Triceps,Dumbbell
122,Smith machine shrug,Traps,Machine
123,Leverage Shrug,Traps,Machine
124,Standing dumbbell shrug,Traps,Dumbbell
125,Standing dumbbell upright row,Traps,Dumbbell
126,Kettlebell sumo deadlift high pull,Traps,Kettlebells
127,Calf-Machine Shoulder Shrug,Traps,Machine
128,Barbell shrug,Traps,Barbell
129,Barbell behind-the-back shrug,Traps,Barbell
130,Cable straight-bar upright row,Traps,Cable
131,Cable shrug,Traps,Cable
